iter	RMSE
281	0.1152384006
282	0.1148810888
283	0.1146893119
284	0.1145163522
285	0.114348859
286	0.1142422979
287	0.1139913919
288	0.1139342137
289	0.1137484332
290	0.1136383471
291	0.113071485
292	0.1129135096
293	0.1127528667
294	0.1126116979
295	0.1123089336
296	0.1121306477
297	0.1120281287
298	0.1118401668
299	0.1117768021
300	0.1116338441
301	0.1115709545
302	0.1112859674
303	0.111164353
304	0.1106732748
305	0.1105108921
306	0.110317017
307	0.1102307092
308	0.1101029459
309	0.1099541712
310	0.1097348587
311	0.1095941239
312	0.1094576641
313	0.1092486013
314	0.108984287
315	0.1088941043
316	0.1087370369
317	0.1086249865
318	0.1083783679
319	0.1083402422
320	0.1083034618
321	0.108215504
322	0.1079894305
323	0.1077494511
324	0.1075430417
325	0.1075183992
326	0.1073138986
327	0.1070485192
328	0.1067797108
329	0.1066144045
330	0.1062814283
331	0.1061116665
332	0.1060479231
333	0.1057039583
334	0.1056086315
335	0.105494445
336	0.1054688274
337	0.1051828527
338	0.105046588
339	0.1049569887
340	0.1047702956
341	0.1046578114
342	0.1045629907
343	0.1044991278
344	0.1042607059
345	0.1042073302
346	0.104036803
347	0.1039331286
348	0.1038302043
349	0.1035425214
350	0.1033258458
351	0.1030701019
352	0.1029343602
353	0.1028724899
354	0.1026507387
355	0.1024652878
356	0.10223041
357	0.1018860439
358	0.1018509639
359	0.1017646115
360	0.1016789578
361	0.1013820155
362	0.1013692408
363	0.1011504973
364	0.1009971047
365	0.1009363382
366	0.1007799146
367	0.1005735739
368	0.1004211495
369	0.100262438
370	0.1000316998
371	0.09983946517
372	0.09972467717
373	0.09955302755
374	0.09937588595
375	0.09920838679
376	0.09914300342
377	0.09896350588
378	0.0989486887
379	0.09887009897
380	0.09879881631
381	0.09874111339
382	0.09853743835
383	0.0984034001
384	0.09819487178
385	0.09799914721
386	0.09794846289
387	0.09773266853
388	0.09767564223
389	0.09748914031
390	0.09733022029
391	0.09721267435
392	0.09715417696
393	0.09698107379
394	0.0968003775
395	0.09662196095
396	0.09655699275
397	0.09641764073
398	0.09632757848
399	0.09624432046
400	0.09614629986
401	0.0961036116
402	0.09597200563
403	0.09582233863
404	0.09570805551
405	0.09561257845
406	0.09548837675
407	0.09528779494
408	0.09520480191
409	0.09498977902
410	0.09488030095
411	0.09479252901
412	0.09469130218
413	0.09460434473
414	0.09433409855
415	0.09421146946
416	0.09408473919
417	0.09393231999
418	0.09390226953
419	0.09380174405
420	0.0937583873
421	0.09373022839
422	0.09366302602
423	0.09349561514
424	0.09347198958
425	0.09340616697
426	0.09337512414
427	0.0932347077
428	0.09320063471
429	0.09314392471
430	0.09312704021
431	0.09309353061
432	0.09308300382
433	0.09294951219
434	0.09288248396
435	0.09278037412
436	0.09252926792
437	0.09244538908
438	0.09240873142
439	0.09229619543
440	0.09218777133
441	0.0921007019
442	0.09200189863
443	0.09192300362
444	0.09189494217
445	0.09171092009
446	0.09164688866
447	0.09158838867
448	0.0915250369
449	0.09143644396
450	0.09132403614
451	0.09107292211
452	0.09097756313
453	0.09092872808
454	0.09079221984
455	0.0906813427
456	0.09054584617
457	0.09046227117
458	0.09041249865
459	0.09026012629
460	0.09012281469
461	0.09002810581
462	0.0899217372
463	0.08979963209
464	0.08975656871
465	0.08966943455
466	0.08959526433
467	0.08938650662
468	0.08916938907
469	0.08906551643
470	0.08900957162
471	0.0889289916
472	0.08886669652
473	0.0887187852
474	0.08861699283
475	0.08852994806
476	0.08832700741
477	0.08823846915
478	0.08812828425
479	0.08807683495
480	0.08799503377
481	0.08794636363
482	0.08789877911
483	0.08777379569
484	0.08757799258
485	0.0874765051
486	0.08740748988
487	0.08721298778
488	0.08715007906
489	0.08708352472
490	0.08696871592
491	0.08693461209
492	0.08680742973
493	0.08666110306
494	0.08657187753
495	0.08649114065
496	0.08637452964
497	0.08629364852
498	0.08623593388
499	0.08622558243
500	0.0861837684
501	0.08615322042
502	0.08602958467
503	0.0859090245
504	0.08581591656
505	0.08572062089
506	0.08563855438
507	0.08562477161
508	0.08555811426
509	0.08542561357
510	0.08536730892
511	0.08525792845
512	0.08515639224
513	0.08507657127
514	0.08498765038
515	0.08486716005
516	0.08478694085
517	0.08467883737
518	0.08451279071
519	0.08440614944
520	0.08436361178
521	0.084290093
522	0.0842039577
523	0.08418269923
524	0.08415944301
525	0.08407404823
526	0.08405169309
527	0.08401779172
528	0.08390702849
529	0.0838159666
530	0.08368848923
531	0.08358777354
532	0.08352958907
533	0.08342522193
534	0.0833626519
535	0.08332716945
536	0.08330078915
537	0.08325544298
538	0.08318237642
539	0.08316511672
540	0.08309690514
541	0.08304600718
542	0.08299077591
543	0.08291303912
544	0.08284727985
545	0.08280178643
546	0.08276091047
547	0.08269325269
548	0.08265576637
549	0.08256281612
550	0.08253411646
551	0.08246185303
552	0.08238104156
553	0.08234918678
554	0.08229600428
555	0.08212152949
556	0.08205424555
557	0.08193379212
558	0.08187720962
559	0.08186454471
560	0.08181415663
561	0.08174786775
562	0.08171568413
563	0.0816537055
564	0.08163765613
565	0.08157422947
566	0.08152367457
567	0.08145965273
568	0.08137068364
569	0.08131408638
570	0.08125762546
571	0.08113386329
572	0.08107986301
573	0.0810328173
574	0.08098121643
575	0.08074954694
576	0.08069934766
577	0.08066666967
578	0.08061549937
579	0.08061234329
580	0.08058603605
581	0.08056089041
582	0.08052174183
583	0.08045356158
584	0.08036547707
585	0.08033227054
586	0.08028993706
587	0.08025240982
588	0.08020742477
589	0.0800669274
590	0.08000018083
591	0.07996447455
592	0.07981312843
593	0.07973340643
594	0.07970756375
595	0.07964554303
596	0.07959877218
597	0.0795600934
598	0.07952775194
599	0.07950529237
600	0.07945810352
601	0.07941160768
602	0.07937923023
603	0.07933520283
604	0.07922146315
605	0.079141037
606	0.07910179119
607	0.07907768453
608	0.07903929933
609	0.07897776535
610	0.07890321821
611	0.07885412185
612	0.07881698257
613	0.07875733675
614	0.07870393403
615	0.07865717375
616	0.07863601062
617	0.07855484063
618	0.07852782413
619	0.07840010052
620	0.07838032796
621	0.0782114208
622	0.07817214768
623	0.07813781968
624	0.07809792869
625	0.07795793066
626	0.07793968757
627	0.0778631625
628	0.07783419989
629	0.07782821766
630	0.07779662522
631	0.07759934933
632	0.07757907354
633	0.07756939446
634	0.077537161
635	0.07746775817
636	0.07739889235
637	0.07732286725
638	0.07722578686
639	0.07713906291
640	0.0771093306
641	0.07706548957
642	0.07702030026
643	0.0769818328
644	0.07689828863
645	0.07689589021
646	0.07683271449
647	0.07673878423
648	0.07669983876
649	0.07661014761
650	0.07659120308
651	0.07651183282
652	0.0764331477
653	0.07640130894
654	0.07638824595
655	0.0763460998
656	0.07634175942
657	0.07623254274
658	0.07612445884
659	0.07604810904
660	0.07598315155
661	0.0759776024
662	0.07592941705
663	0.07579072726
664	0.07574438594
665	0.07573452091
666	0.07567672353
667	0.07566309561
668	0.07552022495
669	0.07545265786
670	0.07541184553
671	0.07531921843
672	0.07528623623
673	0.07523431146
674	0.07518502995
675	0.0751412841
676	0.07503728563
677	0.0749671923
678	0.07489567028
679	0.07475224641
680	0.07471237568
681	0.07460204013
682	0.07457128882
683	0.07456577446
684	0.07455435613
685	0.07448828157
686	0.07440369847
687	0.07436550049
688	0.07433375754
689	0.07426444155
690	0.07420013446
691	0.07411540944
692	0.0740942809
693	0.0740792584
694	0.07407487734
695	0.07404995776
696	0.07403069771
697	0.07403039331
698	0.07396525293
699	0.07391884751
700	0.07388824365
701	0.07382859933
702	0.0737834524
703	0.07371141378
704	0.07368042796
705	0.0736161559
706	0.07350737662
707	0.0734569865
708	0.07340429662
709	0.07332407146
710	0.07324999655
711	0.0731928536
712	0.07317518543
713	0.07316278021
714	0.07315824818
715	0.07312855461
716	0.07309779203
717	0.07298251436
718	0.07293965032
719	0.07282134909
720	0.07278739858
721	0.0727766657
722	0.07272728458
723	0.07266470469
724	0.07264360157
725	0.07264028967
726	0.07260568122
727	0.07254410844
728	0.07253893479
729	0.07251450509
730	0.07248310439
731	0.07236615211
732	0.07236312656
733	0.07233130571
734	0.07227408154
735	0.07221219232
736	0.0721240549
737	0.07200464764
738	0.07197829925
739	0.07196227564
740	0.07193922719
741	0.07191575091
742	0.07186168724
743	0.07178720278
744	0.07175988829
745	0.07173377093
746	0.07167550776
747	0.07160373906
748	0.07158615813
749	0.07153971629
750	0.07153700878
751	0.0714905882
752	0.07138688637
753	0.07133186109
754	0.07130264578
755	0.07128227898
756	0.07123690752
757	0.07120530217
758	0.071165043
759	0.07106364953
760	0.07105121281
761	0.07099128411
762	0.07091026737
763	0.07082087923
764	0.07080306994
765	0.07076964247
766	0.07070935212
767	0.07067225102
768	0.07059326623
769	0.07052440528
770	0.07047544416
771	0.07039060065
772	0.07037592341
773	0.0703250649
774	0.07029488465
775	0.07026667688
776	0.07024138442
777	0.07021813725
778	0.07014479232
779	0.07010176068
780	0.0700836027
781	0.06996736868
782	0.06990638987
783	0.06988152827
784	0.06982941582
785	0.06980534654
786	0.06977445793
787	0.06977405379
788	0.06972360734
789	0.06968173404
790	0.06963419913
791	0.06962203104
792	0.06962046291
793	0.06958636019
794	0.06956502445
795	0.06949657526
796	0.06944344322
797	0.06941117632
798	0.06938642204
799	0.06938127108
800	0.06923713619
801	0.06912610212
802	0.0691176758
803	0.06907957442
804	0.06907704579
805	0.06903282381
806	0.06902465549
807	0.06900443935
808	0.06888538491
809	0.0687792782
810	0.06876001166
811	0.06869979146
812	0.06868645936
813	0.06868388306
814	0.06865093383
815	0.06857959646
816	0.06855709629
817	0.06846070013
818	0.06845702558
819	0.0683972173
820	0.06834088739
821	0.06828406864
822	0.06826734506
823	0.06822064282
824	0.06819673409
825	0.06818629294
826	0.06813496952
827	0.06804892443
828	0.06804843449
829	0.0679905549
830	0.06787939311
831	0.06784233631
832	0.06774924077
833	0.06769941893
834	0.06768037361
835	0.06765158487
836	0.06764845502
837	0.06758420846
838	0.06756155057
839	0.06754141185
840	0.0675162107
841	0.06749534651
842	0.06744169494
843	0.06743142174
844	0.06736399441
845	0.06734731862
846	0.06729811046
847	0.0672543845
848	0.06723624376
849	0.06715705799
850	0.06715307777
851	0.06709553375
852	0.06708189034
853	0.06697117257
854	0.06689244225
855	0.06682108691
856	0.06678384797
857	0.06673300739
858	0.06668973323
859	0.06667322205
860	0.06665652974
861	0.06661968315
862	0.06657644383
863	0.066515708
864	0.06650687942
865	0.06644779873
866	0.0664423713
867	0.0664135694
868	0.06637923685
869	0.06635304371
870	0.06633906113
871	0.06631367211
872	0.06630884057
873	0.06620849041
874	0.06616349085
875	0.06608875887
876	0.0660263195
877	0.06597318697
878	0.06592457389
879	0.06589328084
880	0.06576960962
881	0.0657530608
882	0.06569400835
883	0.06563355791
884	0.06558778125
885	0.0655680246
886	0.06553073095
887	0.06548913582
888	0.06548061633
889	0.06544650342
890	0.0653587618
891	0.06534081412
892	0.06532487223
893	0.06529525592
894	0.06527845856
895	0.06524927832
896	0.06519550679
897	0.06519517846
898	0.06515570966
899	0.0651193836
900	0.06508746751
901	0.06506799895
902	0.06505526139
903	0.06495696847
904	0.06494691489
905	0.06485976561
906	0.06480735646
907	0.06475811549
908	0.06466261436
909	0.06456216205
910	0.06450120123
911	0.06444546165
912	0.06444107017
913	0.06438634292
914	0.06432505217
915	0.06430926506
916	0.06426026445
917	0.06420246595
918	0.06417734396
919	0.06414791142
920	0.0640857883
921	0.06407070058
922	0.06404810536
923	0.06399051396
924	0.06393990052
925	0.06389295776
926	0.06386320943
927	0.06382576125
928	0.06376168333
929	0.06373721371
930	0.06371084492
931	0.06371043688
932	0.06367244656
933	0.06366976359
934	0.06365159064
935	0.063605285
936	0.06358894825
937	0.06355270766
938	0.06355017386
939	0.06353480981
940	0.06350910007
941	0.06349981795
942	0.06346557021
943	0.06342681108
944	0.06341847461
945	0.06341703942
946	0.06339225068
947	0.06333461881
948	0.06329197386
949	0.06328577987
950	0.06319303524
951	0.06318530502
952	0.06317039296
953	0.06310387113
954	0.06307649233
955	0.06299966973
956	0.06294759681
957	0.06291390103
958	0.06290912746
959	0.06286837183
960	0.0628536568
961	0.06284046039
962	0.06280604767
963	0.06280473985
964	0.06279733785
965	0.06274363556
966	0.06272916837
967	0.06270377497
968	0.06264349078
969	0.0625916122
970	0.06257802528
971	0.06256189501
972	0.06246638466
973	0.0624589431
974	0.06245266878
975	0.06244484366
976	0.06243096043
977	0.0624179868
978	0.06236957036
979	0.06236519559
980	0.0623640238
981	0.06235790573
982	0.06228484228
983	0.06219391685
984	0.06217926475
985	0.06210133992
986	0.06208436447
987	0.06204997158
988	0.06203270429
989	0.06197093387
990	0.06193665454
991	0.0619207748
992	0.06191008793
993	0.06184401371
994	0.06183531037
995	0.06182242067
996	0.06174878813
997	0.0616925643
998	0.0616280312
999	0.06160058772
