country_name,year,nuclear_weapons_stockpile
China,2022,350
France,2022,290
India,2022,160
Israel,2022,90
North Korea,2022,20
Pakistan,2022,165
Russia,2022,4477
South Africa,2022,0
United Kingdom,2022,180
United States,2022,3708
